date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Carmarthenshire,W06000010,187898,2321,137,379,562,241,1002,455,248,138,69,1756,635,255,437,429,182652,176673,649,437,69,4824,714,264,450
2021,Swansea,W06000011,238491,10451,2865,1932,2172,954,2528,2797,2227,235,335,3808,1285,674,669,1180,218052,208703,1111,93,117,8028,3383,1578,1805
2021,Neath Port Talbot,W06000012,142290,2253,508,387,527,224,607,522,274,148,100,1583,493,211,535,344,137511,135111,437,170,33,1760,421,105,316
2021,Bridgend,W06000013,145490,2152,163,491,588,180,730,429,257,98,74,1684,525,279,487,393,140799,137755,452,57,55,2480,426,80,346
2021,Vale of Glamorgan,W06000014,131939,2807,172,579,892,335,829,624,283,219,122,2987,734,477,1005,771,124800,121371,659,48,26,2696,721,268,453
2021,Cardiff,W06000015,362310,34983,6887,5017,8837,8615,5627,13896,10587,1350,1959,14506,3572,2611,4299,4024,286931,266533,2335,673,593,16797,11994,6624,5370
2021,Rhondda Cynon Taff,W06000016,237653,3506,247,894,958,405,1002,997,749,116,132,2469,709,524,635,601,229923,226123,516,69,28,3187,758,198,560
2021,Caerphilly,W06000018,175955,1584,38,446,456,155,489,283,129,93,61,1754,535,247,539,433,171955,169356,389,38,46,2126,379,87,292
2021,Blaenau Gwent,W06000019,66903,621,26,140,212,71,172,115,76,29,10,569,138,69,219,143,65456,63990,92,133,14,1227,142,38,104
2021,Torfaen,W06000020,92276,1202,99,212,254,91,546,228,118,69,41,1005,264,136,343,262,89596,87873,296,265,31,1131,245,46,199
2021,Monmouthshire,W06000021,92960,1185,52,277,317,94,445,230,132,62,36,1115,376,183,261,295,90106,87566,451,36,19,2034,324,88,236
2021,Newport,W06000022,159592,12194,2858,711,2023,4803,1799,3737,2687,553,497,4451,1188,640,1528,1095,136473,128245,685,168,406,6969,2737,999,1738
2021,Powys,W06000023,133169,1247,79,160,176,50,782,221,74,96,51,1135,373,147,295,320,130160,126357,581,105,49,3068,406,100,306
2021,Merthyr Tydfil,W06000024,58839,871,46,156,308,92,269,91,59,13,19,510,129,86,131,164,57140,54916,113,56,26,2029,227,17,210
